Problem: irf3328x3328, setup: 1.64 s, time: 26.96 ms, ``mflops'': 24035
Problem: irf3840x3840, setup: 3.06 s, time: 26.81 ms, ``mflops'': 32741
Problem: irf4352x4352, setup: 2.99 s, time: 70.25 ms, ``mflops'': 16293
Problem: irf4864x4864, setup: 3.99 s, time: 114.57 ms, ``mflops'': 12646
Problem: irf5376x5376, setup: 4.19 s, time: 57.07 ms, ``mflops'': 31380
Problem: irf5888x5888, setup: 6.58 s, time: 184.45 ms, ``mflops'': 11769
Problem: irf6400x6400, setup: 6.46 s, time: 80.13 ms, ``mflops'': 32314
Problem: irf6912x6912, setup: 6.84 s, time: 128.43 ms, ``mflops'': 23723
Problem: irf7424x7424, setup: 10.51 s, time: 293.43 ms, ``mflops'': 12076
Problem: irf7936x7936, setup: 12.23 s, time: 374.96 ms, ``mflops'': 10879
Problem: irf8448x8448, setup: 9.46 s, time: 172.49 ms, ``mflops'': 26986
Problem: irf8960x8960, setup: 11.29 s, time: 214.82 ms, ``mflops'': 24534
Problem: irf9472x9472, setup: 18.55 s, time: 589.42 ms, ``mflops'': 10053
Problem: irf9984x9984, setup: 12.04 s, time: 284.83 ms, ``mflops'': 23247
Problem: irf10496x10496, setup: 20.53 s, time: 657.48 ms, ``mflops'': 11191
Problem: irf11008x11008, setup: 21.40 s, time: 1.29 s, ``mflops'': 6326.7
Problem: irf11520x11520, setup: 17.88 s, time: 342.32 ms, ``mflops'': 26153
Problem: irf12032x12032, setup: 22.40 s, time: 991.50 ms, ``mflops'': 9895.5
Problem: irf12544x12544, setup: 17.32 s, time: 460.52 ms, ``mflops'': 23260
Problem: irf13056x13056, setup: 21.49 s, time: 676.62 ms, ``mflops'': 17222
Problem: irf13568x13568, setup: 22.72 s, time: 1.27 s, ``mflops'': 9950.8
Problem: irf14080x14080, setup: 20.10 s, time: 601.57 ms, ``mflops'': 22708
Problem: irf14592x14592, setup: 21.44 s, time: 889.11 ms, ``mflops'': 16564
Problem: irf15104x15104, setup: 25.55 s, time: 1.53 s, ``mflops'': 10343
Problem: irf15616x15616, setup: 26.55 s, time: 1.90 s, ``mflops'': 8931.6
Problem: irf16128x16128, setup: 23.31 s, time: 717.98 ms, ``mflops'': 25319
Problem: orf256x256, setup: 129.45 ms, time: 68.38 us, ``mflops'': 38339
Problem: orf768x768, setup: 417.30 ms, time: 725.88 us, ``mflops'': 38942
Problem: orf1280x1280, setup: 680.84 ms, time: 2.42 ms, ``mflops'': 35008
Problem: orf1792x1792, setup: 571.47 ms, time: 5.61 ms, ``mflops'': 30904
Problem: orf2304x2304, setup: 1.36 s, time: 9.09 ms, ``mflops'': 32597
Problem: orf2816x2816, setup: 951.27 ms, time: 16.19 ms, ``mflops'': 28071
Problem: orf3328x3328, setup: 1.05 s, time: 27.33 ms, ``mflops'': 23708
Problem: orf3840x3840, setup: 2.07 s, time: 29.71 ms, ``mflops'': 29544
Problem: orf4352x4352, setup: 1.61 s, time: 70.77 ms, ``mflops'': 16174
Problem: orf4864x4864, setup: 2.24 s, time: 112.79 ms, ``mflops'': 12845
Problem: orf5376x5376, setup: 2.40 s, time: 62.37 ms, ``mflops'': 28710
Problem: orf5888x5888, setup: 3.44 s, time: 181.97 ms, ``mflops'': 11930
Problem: orf6400x6400, setup: 3.12 s, time: 88.27 ms, ``mflops'': 29335
Problem: orf6912x6912, setup: 3.75 s, time: 136.12 ms, ``mflops'': 22383
Problem: orf7424x7424, setup: 5.62 s, time: 275.26 ms, ``mflops'': 12873
Problem: orf7936x7936, setup: 6.76 s, time: 370.96 ms, ``mflops'': 10997
Problem: orf8448x8448, setup: 4.48 s, time: 211.51 ms, ``mflops'': 22007
Problem: orf8960x8960, setup: 5.14 s, time: 218.28 ms, ``mflops'': 24144
Problem: orf9472x9472, setup: 10.55 s, time: 611.09 ms, ``mflops'': 9696.9
Problem: orf9984x9984, setup: 5.92 s, time: 285.68 ms, ``mflops'': 23177
Problem: orf10496x10496, setup: 10.95 s, time: 649.79 ms, ``mflops'': 11323
Problem: orf11008x11008, setup: 10.38 s, time: 729.56 ms, ``mflops'': 11150
Problem: orf11520x11520, setup: 9.37 s, time: 324.24 ms, ``mflops'': 27611
Problem: orf12032x12032, setup: 10.97 s, time: 917.35 ms, ``mflops'': 10695
Problem: orf12544x12544, setup: 8.34 s, time: 468.67 ms, ``mflops'': 22855
Problem: orf13056x13056, setup: 11.05 s, time: 683.86 ms, ``mflops'': 17040
Problem: orf13568x13568, setup: 12.19 s, time: 1.22 s, ``mflops'': 10319
Problem: orf14080x14080, setup: 10.22 s, time: 609.02 ms, ``mflops'': 22430
Problem: orf14592x14592, setup: 11.06 s, time: 885.56 ms, ``mflops'': 16630
Problem: orf15104x15104, setup: 12.31 s, time: 1.53 s, ``mflops'': 10335
Problem: orf15616x15616, setup: 13.90 s, time: 1.82 s, ``mflops'': 9332.9
Problem: orf16128x16128, setup: 12.99 s, time: 716.12 ms, ``mflops'': 25385
Problem: irb256x256, setup: 166.35 ms, time: 80.65 us, ``mflops'': 32505
Problem: irb768x768, setup: 606.32 ms, time: 735.06 us, ``mflops'': 38456
Problem: irb1280x1280, setup: 967.42 ms, time: 2.38 ms, ``mflops'': 35456
Problem: irb1792x1792, setup: 873.15 ms, time: 5.46 ms, ``mflops'': 31811
Problem: irb2304x2304, setup: 2.04 s, time: 9.04 ms, ``mflops'': 32787
Problem: irb2816x2816, setup: 1.57 s, time: 15.68 ms, ``mflops'': 28975
Problem: irb3328x3328, setup: 1.78 s, time: 27.20 ms, ``mflops'': 23820
Problem: irb3840x3840, setup: 3.59 s, time: 27.25 ms, ``mflops'': 32220
Problem: irb4352x4352, setup: 3.23 s, time: 72.11 ms, ``mflops'': 15874
Problem: irb4864x4864, setup: 4.27 s, time: 118.43 ms, ``mflops'': 12234
