Problem: orb3840, setup: 1.30 s, time: 11.35 us, ``mflops'': 10071
Problem: orb4352, setup: 210.49 ms, time: 15.86 us, ``mflops'': 8289.8
Problem: orb4864, setup: 256.90 ms, time: 20.61 us, ``mflops'': 7226.6
Problem: orb5376, setup: 874.00 ms, time: 14.89 us, ``mflops'': 11186
Problem: orb5888, setup: 240.48 ms, time: 20.94 us, ``mflops'': 8803
Problem: orb6400, setup: 1.07 s, time: 14.94 us, ``mflops'': 13543
Problem: orb6912, setup: 1.09 s, time: 16.92 us, ``mflops'': 13026
Problem: orb7424, setup: 313.38 ms, time: 26.31 us, ``mflops'': 9070.3
Problem: orb7936, setup: 315.53 ms, time: 29.19 us, ``mflops'': 8804.3
Problem: orb8448, setup: 606.58 ms, time: 21.08 us, ``mflops'': 13067
Problem: orb8960, setup: 1.20 s, time: 21.02 us, ``mflops'': 13993
Problem: orb9472, setup: 482.88 ms, time: 35.28 us, ``mflops'': 8867.4
Problem: orb9984, setup: 602.05 ms, time: 23.54 us, ``mflops'': 14084
Problem: orb10496, setup: 534.58 ms, time: 40.00 us, ``mflops'': 8763.4
Problem: orb11008, setup: 552.92 ms, time: 58.25 us, ``mflops'': 6343.2
Problem: orb11520, setup: 2.51 s, time: 24.79 us, ``mflops'': 15674
Problem: orb12032, setup: 666.79 ms, time: 75.41 us, ``mflops'': 5407
Problem: orb12544, setup: 604.63 ms, time: 26.73 us, ``mflops'': 15973
Problem: orb13056, setup: 702.11 ms, time: 36.48 us, ``mflops'': 12234
Problem: orb13568, setup: 702.07 ms, time: 92.25 us, ``mflops'': 5047.7
Problem: orb14080, setup: 847.79 ms, time: 30.31 us, ``mflops'': 16004
Problem: orb14592, setup: 762.32 ms, time: 40.23 us, ``mflops'': 12542
Problem: orb15104, setup: 648.72 ms, time: 60.73 us, ``mflops'': 8631.2
Problem: orb15616, setup: 842.98 ms, time: 70.51 us, ``mflops'': 7713.4
Problem: orb16128, setup: 1.96 s, time: 33.03 us, ``mflops'': 17064
Problem: irf256x256, setup: 169.16 ms, time: 75.04 us, ``mflops'': 34936
Problem: irf768x768, setup: 549.92 ms, time: 745.38 us, ``mflops'': 37923
Problem: irf1280x1280, setup: 899.05 ms, time: 2.73 ms, ``mflops'': 30942
Problem: irf1792x1792, setup: 858.23 ms, time: 6.51 ms, ``mflops'': 26668
Problem: irf2304x2304, setup: 1.92 s, time: 10.81 ms, ``mflops'': 27423
Problem: irf2816x2816, setup: 1.59 s, time: 17.69 ms, ``mflops'': 25682
Problem: irf3328x3328, setup: 1.75 s, time: 22.72 ms, ``mflops'': 28520
Problem: irf3840x3840, setup: 3.18 s, time: 31.54 ms, ``mflops'': 27838
Problem: irf4352x4352, setup: 3.00 s, time: 72.45 ms, ``mflops'': 15799
Problem: irf4864x4864, setup: 4.02 s, time: 115.80 ms, ``mflops'': 12511
Problem: irf5376x5376, setup: 4.28 s, time: 75.81 ms, ``mflops'': 23622
Problem: irf5888x5888, setup: 6.17 s, time: 182.19 ms, ``mflops'': 11916
Problem: irf6400x6400, setup: 6.31 s, time: 92.29 ms, ``mflops'': 28058
Problem: irf6912x6912, setup: 6.43 s, time: 126.53 ms, ``mflops'': 24079
Problem: irf7424x7424, setup: 10.62 s, time: 283.00 ms, ``mflops'': 12521
Problem: irf7936x7936, setup: 12.41 s, time: 372.31 ms, ``mflops'': 10957
Problem: irf8448x8448, setup: 9.30 s, time: 197.72 ms, ``mflops'': 23542
Problem: irf8960x8960, setup: 11.31 s, time: 203.61 ms, ``mflops'': 25883
Problem: irf9472x9472, setup: 18.71 s, time: 589.18 ms, ``mflops'': 10058
Problem: irf9984x9984, setup: 12.21 s, time: 278.64 ms, ``mflops'': 23763
Problem: irf10496x10496, setup: 20.49 s, time: 673.84 ms, ``mflops'': 10919
Problem: irf11008x11008, setup: 20.49 s, time: 742.07 ms, ``mflops'': 10962
Problem: irf11520x11520, setup: 18.17 s, time: 339.71 ms, ``mflops'': 26354
Problem: irf12032x12032, setup: 22.24 s, time: 1.02 s, ``mflops'': 9601.1
Problem: irf12544x12544, setup: 16.73 s, time: 460.43 ms, ``mflops'': 23264
Problem: irf13056x13056, setup: 21.65 s, time: 693.56 ms, ``mflops'': 16802
Problem: irf13568x13568, setup: 23.01 s, time: 1.26 s, ``mflops'': 9993.1
Problem: irf14080x14080, setup: 20.41 s, time: 598.10 ms, ``mflops'': 22840
Problem: irf14592x14592, setup: 21.47 s, time: 887.58 ms, ``mflops'': 16592
Problem: irf15104x15104, setup: 24.82 s, time: 1.53 s, ``mflops'': 10355
Problem: irf15616x15616, setup: 25.63 s, time: 1.82 s, ``mflops'': 9311.9
Problem: irf16128x16128, setup: 23.19 s, time: 699.57 ms, ``mflops'': 25985
Problem: orf256x256, setup: 127.58 ms, time: 68.81 us, ``mflops'': 38098
Problem: orf768x768, setup: 414.47 ms, time: 808.75 us, ``mflops'': 34952
Problem: orf1280x1280, setup: 672.16 ms, time: 3.00 ms, ``mflops'': 28158
